item_no,cluster_id,prod_type_cluster_id,prod_type_and_name_cluster_id
00349849,0,0,0
00360484,1,2,6
00458876,0,0,1
00492677,2,11,17
00505528,2,11,18
00559371,3,12,25
00571250,3,12,26
09099105,4,15,36
09157421,4,15,36
09189078,0,1,5
09241302,3,13,33
09302913,5,16,37
09324284,5,17,38
09392225,0,0,1
09392230,3,14,35
09406798,6,24,45
09407024,7,25,46
09494889,4,15,36
09494912,3,13,34
09495006,8,26,47
09495049,9,27,48
09495054,9,28,50
09496628,9,29,51
09496666,9,29,51
09502691,3,12,25
09514788,3,12,27
09555081,10,33,57
09555118,10,33,57
09555236,10,34,58
09555321,3,12,28
09555340,3,12,28
09556127,11,35,59
09559965,9,30,54
09561954,12,36,60
09569224,3,12,29
09577771,13,37,61
09577785,13,37,61
09577790,13,37,61
09577808,13,37,61
09577813,13,37,61
09577832,13,37,61
09577846,13,37,61
09577851,13,37,61
09577865,13,37,61
09577889,13,37,61
09577894,13,37,61
09577907,13,37,61
09577926,13,37,61
09577931,13,37,61
09577945,13,37,61
09577969,13,37,61
09577988,13,37,61
09577993,13,37,61
09578006,13,37,61
09578011,13,37,61
09578049,13,37,61
09578068,13,37,61
09578092,13,37,61
09578148,13,37,61
09578172,13,37,61
09578191,13,37,61
09578209,13,37,61
09578394,13,37,61
09578450,13,37,61
09902934,0,0,2
09929373,14,38,65
10453086,0,0,3
10492672,2,11,17
10538929,14,39,66
19019085,14,38,65
19019226,14,40,70
19022549,14,38,65
19099157,14,41,71
19175957,14,42,72
19175976,15,46,83
19188827,9,27,49
19241293,14,43,73
19408669,16,47,84
19441739,17,48,85
19494879,4,15,36
19494884,0,0,2
19494898,2,11,19
19494997,15,46,83
19495015,14,38,65
19496487,3,12,25
19496500,3,12,25
19496538,14,39,67
19496699,0,0,4
19501733,14,43,74
19502695,14,39,67
19552751,3,12,30
19552869,13,37,62
19552874,13,37,62
19555127,10,33,57
19555170,10,33,57
19555269,13,37,62
19555373,3,12,28
19559941,15,46,83
19559955,14,38,65
19559960,14,40,70
19564363,3,12,29
19564382,3,12,29
19577756,13,37,61
19577761,13,37,61
19577775,13,37,61
19577780,13,37,61
19577799,13,37,61
19577817,13,37,61
19577841,13,37,61
19577855,13,37,61
19577879,13,37,61
19577884,13,37,61
19577898,13,37,61
19577916,13,37,61
19577921,13,37,61
19577935,13,37,61
19577940,13,37,61
19577959,13,37,61
19577964,13,37,61
19578015,13,37,61
19578044,13,37,61
19578063,13,37,61
19578077,13,37,61
19578119,13,37,61
19578195,13,37,61
19578204,13,37,61
19578336,13,37,61
19578355,13,37,61
19578398,13,37,61
19928288,14,44,77
20349853,14,44,78
20458941,3,12,31
20489179,0,0,4
20572499,3,12,28
20573253,14,39,68
29002433,14,38,65
29018735,0,0,2
29018740,0,0,2
29019056,2,11,20
29099294,14,44,77
29157420,4,15,36
29189077,14,45,81
29241358,14,45,82
29336554,5,18,39
29392234,14,44,79
29406797,6,24,45
29494888,14,44,77
29494925,9,27,49
29494973,14,38,65
29495010,14,40,70
29496585,0,0,4
29496689,14,44,80
29501695,2,11,21
29501704,14,43,74
29514754,3,12,27
29514768,3,12,27
29552859,10,33,57
29552878,13,37,62
29552883,13,37,62
29555075,10,33,57
29555259,13,37,62
29555344,14,39,68
29559945,14,40,70
29559950,14,38,65
29560171,14,39,69
29561953,12,36,60
29562028,13,37,62
29563396,2,11,22
29577807,13,37,61
29577812,13,37,61
29577826,13,37,61
29577831,13,37,61
29577845,13,37,61
29577850,13,37,61
29577869,13,37,61
29577874,13,37,61
