product_name,product_type_name,material,pa_name,valdes_text_en,item_no,text,size,group
backsälen,cover seat armchair,fabric,armchairs,hallarp grey,40497263,grey,55 x 50,1
backsälen,cover seat armchair,fabric,armchairs,katorp natural,10497231,natural,55 x 50,1
backsälen,cover seat armchair,fabric,armchairs,blekinge white,10497132,white,55 x 50,1
backsälen,cover seat sofa,fabric,sofas,hallarp grey,00497255,grey,55 x 50,2
backsälen,cover seat sofa,fabric,sofas,hallarp grey,20497259,grey,55 x 50,2
backsälen,cover seat sofa,fabric,sofas,katorp natural,20497235,natural,55 x 50,2
backsälen,cover seat sofa,fabric,sofas,katorp natural,40497239,natural,55 x 50,2
backsälen,cover seat sofa,fabric,sofas,blekinge white,00497199,white,55 x 50,2
backsälen,cover seat sofa,fabric,sofas,blekinge white,80497195,white,55 x 50,2
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneer,59501731,beige,160 x 200,3
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneer,19501733,beige,180 x 200,3
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneerlindbåden,59501694,beige,160 x 200,3
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneerlindbåden,49501703,beige,180 x 200,3
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneerluröy,29501695,beige,160 x 200,3
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneerluröy,29501704,beige,180 x 200,3
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneerlönset,89501697,beige,160 x 200,4
björksnäs,bed frame,wood including board,bed frames beds non upholstered headboards,birchbirch veneerlönset,79501706,beige,180 x 200,4
blåfjället,divan bed,upholstered,bed upholstered headboard,medium firmvissle blue,69515172,blue,140 x 200,5
blåfjället,divan bed,upholstered,bed upholstered headboard,medium firmvissle blue,49515173,blue,160 x 200,5
blåfjället,divan bed,upholstered,bed upholstered headboard,medium firmvissle blue,69561946,blue,180 x 200,5
blåfjället,divan bed,upholstered,bed upholstered headboard,medium firmkabusa dark grey,39515178,dark grey,140 x 200,5
blåfjället,divan bed,upholstered,bed upholstered headboard,medium firmkabusa dark grey,59515177,dark grey,160 x 200,5
blåfjället,divan bed,upholstered,bed upholstered headboard,medium firmkabusa dark grey,89561945,dark grey,180 x 200,5
blåfjället,ottoman divan bed,upholstered,bed upholstered headboard,medium firmvissle blue,09561954,blue,140 x 200,6
blåfjället,ottoman divan bed,upholstered,bed upholstered headboard,medium firmvissle blue,59561956,blue,160 x 200,6
blåfjället,ottoman divan bed,upholstered,bed upholstered headboard,medium firmkabusa dark grey,29561953,dark grey,140 x 200,6
