,Item_NO,Product_Name,length,width,Product_Type_Name,material,PA_Name,VALDES_TEXT_EN,country_code,language_code
0,00349849,NORDLI,160,200,bed frame with storage,Wood (including board),Bed frames and beds with non upholstered headboards,white,SE,en
1,00360484,UTÅKER,80,200,stackable bed,Solid wood,Flexible sleep solutions,pine,SE,en
2,00458876,IDANÄS,180,200,bed frame with storage,Wood (including board),Bed frames and beds with non upholstered headboards,white,SE,en
3,00492677,KLEPPSTAD,140,200,bed frame,Metal,Bed with upholstered headboard,white/Vissle beige,SE,en
4,00505528,VEVELSTAD,140,200,bed frame,Metal,Bed frames and beds with non upholstered headboards,white,SE,en
5,00559371,SAGESUND,160,200,upholstered bed frame,Upholstered,Bed with upholstered headboard,Gräsbo white,SE,en
7,00571250,SLATTUM,180,200,upholstered bed frame,Upholstered,Bed with upholstered headboard,Vissle dark grey,SE,en
8,09099105,BRIMNES,140,200,bed frame w storage and headboard,Wood (including board),Bed frames and beds with non upholstered headboards,black,SE,en
9,09157421,BRIMNES,160,200,bed frame w storage and headboard,Wood (including board),Bed frames and beds with non upholstered headboards,black/Luröy,SE,en
10,09189078,HEMNES,180,200,bed frame with 4 storage boxes,Wood (including board),Bed frames and beds with non upholstered headboards,white stain,SE,en
11,09241302,SONGESAND,180,200,bed frame,Wood (including board),Bed frames and beds with non upholstered headboards,white/Luröy,SE,en
12,09302913,PLATSA,142,244,bed frame with 4 drawers,Wood (including board),Bed frames and beds with non upholstered headboards,white/Fonnes,SE,en
13,09324284,PLATSA,140,244,bed frame with 6 doors+12 drawers,Wood (including board),Bed frames and beds with non upholstered headboards,white/Fonnes,SE,en
14,09392225,IDANÄS,160,200,bed frame with storage,Wood (including board),Bed frames and beds with non upholstered headboards,dark brown/Lönset,SE,en
15,09392230,IDANÄS,180,200,bed frame with storage,Wood (including board),Bed frames and beds with non upholstered headboards,dark brown/Luröy,SE,en
16,09406798,GLADSTAD,140,200,"upholstered bed, 2 storage boxes",Upholstered,Bed with upholstered headboard,Kabusa light grey,SE,en
17,09407024,GLADSTAD,140,200,"upholstered bed, 4 storage boxes",Upholstered,Bed with upholstered headboard,Kabusa light grey,SE,en
18,09494889,BRIMNES,160,200,bed frame w storage and headboard,Wood (including board),Bed frames and beds with non upholstered headboards,white/Lindbåden,SE,en
19,09494912,HEMNES,180,200,bed frame,Wood (including board),Bed frames and beds with non upholstered headboards,white stain/Lindbåden,SE,en
20,09495006,MALM,140,200,"bed frame, high, w 4 storage boxes",Wood (including board),Bed frames and beds with non upholstered headboards,white/Lindbåden,SE,en
21,09495049,SONGESAND,160,200,bed frame with 4 storage boxes,Wood (including board),Bed frames and beds with non upholstered headboards,white/Lindbåden,SE,en
22,09495054,SONGESAND,160,200,bed frame,Wood (including board),Bed frames and beds with non upholstered headboards,white/Lindbåden,SE,en
23,09496628,TONSTAD,160,200,bed frame with storage,Wood (including board),Bed frames and beds with non upholstered headboards,off-white/Lindbåden,SE,en
24,09496666,TONSTAD,180,200,bed frame with storage,Wood (including board),Bed frames and beds with non upholstered headboards,oak veneer/Lönset,SE,en
25,09502691,SAGESUND,160,200,upholstered bed frame,Upholstered,Bed with upholstered headboard,Gräsbo white/Luröy,SE,en
